price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,LONGITUDE,LATITUDE
13300000,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished,12.96991,77.59796
12250000,8960,4,4,4,yes,no,no,no,yes,3,no,furnished,12.274538,76.644605
12250000,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished,12.778033,77.632191
12215000,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished,28.6423,77.3445
11410000,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished,22.5922,88.484911
10850000,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished,10.03328,76.282571
10150000,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished,26.916347,75.7956
10150000,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished,30.74,76.65
9870000,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished,13.054202,77.674002
9800000,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished,12.95161,80.14097
9800000,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished,26.724219,88.326357
9681000,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished,13.04034,77.591347
9310000,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished,12.96991,77.59796
9240000,3500,4,2,2,yes,no,no,yes,no,2,no,furnished,28.587711,77.403123
9240000,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished,13.0352,77.5772
9100000,6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished,28.429614,77.481711
9100000,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished,20.275267,85.862407
8960000,8500,3,2,4,yes,no,no,no,yes,2,no,furnished,12.8855,77.5638
8890000,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished,21.15389,79.08306
8855000,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished,13.092356,77.613468
8750000,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished,13.05,80.11
8680000,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished,18.452663,73.93104
8645000,8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished,28.5041,77.381557
8645000,4560,3,2,2,yes,yes,yes,no,yes,1,no,furnished,19.05444,72.84056
8575000,8800,3,2,2,yes,no,no,no,yes,2,no,furnished,21.105779,79.078497
8540000,6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished,22.54111,88.33778
8463000,6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished,28.63601,77.433724
8400000,8875,3,1,1,yes,no,no,no,no,1,no,semi-furnished,30.712867,76.648557
8400000,7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished,24.48,86.7
8400000,5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished,28.2102,76.8606
8400000,7475,3,2,4,yes,no,no,no,yes,2,no,unfurnished,28.40473,77.367514
8400000,7000,3,1,4,yes,no,no,no,yes,2,no,semi-furnished,28.5041,77.381557
8295000,4880,4,2,2,yes,no,no,no,yes,1,yes,furnished,26.586306,74.873234
8190000,5960,3,3,2,yes,yes,yes,no,no,1,no,unfurnished,19.18,72.96333
8120000,6840,5,1,2,yes,yes,yes,no,yes,1,no,furnished,19.1759,72.9522
8080940,7000,3,2,4,yes,no,no,no,yes,2,no,furnished,12.852171,80.216826
8043000,7482,3,2,3,yes,no,no,yes,no,1,yes,furnished,18.5993,73.7625
7980000,9000,4,2,4,yes,no,no,no,yes,2,no,furnished,22.312063,72.674296
7962500,6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished,17.815234,83.35818
7910000,6000,4,2,4,yes,no,no,no,yes,1,no,semi-furnished,12.894088,77.548914
7875000,6550,3,1,2,yes,no,yes,no,yes,0,yes,furnished,24.69028,78.41889
7840000,6360,3,2,4,yes,no,no,no,yes,0,yes,furnished,18.539812,73.737678
7700000,6480,3,2,4,yes,no,no,no,yes,2,no,unfurnished,18.5438,73.9438
